[2026-06-07 23:28:28] [INFO    ] discord.client: logging in using static token
[2026-06-07 23:28:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-06-07 23:28:29] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-06-07 23:28:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1512980962970046594', 'username': 'habitJailor', 'avatar': None, 'discriminator': '1795', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-06-07 23:28:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-06-07 23:28:29] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-06-07 23:28:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1512980962970046594', 'name': 'productive_bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1512980962970046594', 'username': 'habitJailor', 'avatar': None, 'discriminator': '1795', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'cb28f6d12fed8e32a86e2ecc2cebef616ea33d0fe00bd97c367b70ba387d80ed', 'flags': 557056, 'flags_new': '557056', 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '440184696811552769', 'username': 'elfin21', 'avatar': '6947ead9480f7b502802a7fc221b24a1', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Elfin21', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-06-07 23:28:29] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-06-07 23:28:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-208m",{"micros":0.0}]']}}
[2026-06-07 23:28:29] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-06-07 23:28:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-06-07 23:28:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'habitJailor', 'primary_guild': None, 'mfa_enabled': True, 'id': '1512980962970046594', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1795', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '94c4af74b32f2b4d2546e1271cb238fc', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1513400964843966604'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-west', 'santa-clara', 'oregon', 'seattle', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1512980962970046594', 'flags_new': '557056', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-208m",{"micros":168518,"calls":["id_created",{"micros":1024,"calls":[]},"session_lookup_time",{"micros":220,"calls":[]},"session_lookup_finished",{"micros":9,"calls":[]},"sessions-prd-gcp-us-east1-d-56",{"micros":166898,"calls":["start_session",{"micros":106970,"calls":["prd-rpc-66c5987644-ksq2t",{"micros":35608,"calls":["get_user",{"micros":5332},"get_guilds",{"micros":4193},"send_scheduled_deletion_message",{"micros":38},"guild_join_requests",{"micros":941},"authorized_ip_coro",{"micros":38},"pending_payments",{"micros":2049},"apex_experiments",{"micros":61908},"sessions_experiments",{"micros":25},"played_application_ids",{"micros":20},"linked_users",{"micros":24},"ad_personalization_toggles_disabled",{"micros":17},"regional_feature_config",{"micros":19}]}]},"starting_guild_connect",{"micros":34,"calls":[]},"presence_started",{"micros":19208,"calls":[]},"guilds_started",{"micros":85,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":40560,"calls":[]},"connect_finished",{"micros":40577,"calls":[]},"build_ready",{"micros":19,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-06-07 23:28:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-07 23:28:29] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 94c4af74b32f2b4d2546e1271cb238fc).
[2026-06-07 23:28:29] [DEBUG   ] discord.client: Dispatching event connect
[2026-06-07 23:28:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'region': 'deprecated', 'safety_alerts_channel_id': None, 'max_stage_video_channel_users': 50, 'stickers': [], 'explicit_content_filter': 0, 'soundboard_sounds': [], 'voice_states': [], 'profile': None, 'afk_channel_id': None, 'system_channel_id': '1513400964843966607', 'afk_timeout': 300, 'inventory_settings': None, 'game_application_ids': None, 'latest_onboarding_question_id': None, 'nsfw': False, 'owner_configured_content_level': 0, 'roles': [{'version': 1780893307719, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1513400964843966604', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1780894492365, 'unicode_emoji': None, 'tags': {'bot_id': '1512980962970046594'}, 'position': 2, 'permissions': '563276656536640', 'name': 'productive_bot', 'mentionable': False, 'managed': True, 'id': '1513401129004957871', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1780894492532, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Gamer', 'mentionable': False, 'managed': False, 'id': '1513405857096798359', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}], 'id': '1513400964843966604', 'large': False, 'lazy': True, 'premium_subscription_count': 0, 'theme': None, 'rules_channel_id': None, 'members': [{'user': {'username': 'habitJailor', 'public_flags': 0, 'primary_guild': None, 'id': '1512980962970046594', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1795', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1513401129004957871'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-06-08T04:35:46.881542+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'icon': None, 'name': 'Bot Test', 'max_video_channel_users': 25, 'default_message_notifications': 0, 'stage_instances': [], 'banner': None, 'preferred_locale': 'en-US', 'home_header': None, 'discovery_splash': None, 'threads': [], 'presences': [], 'premium_progress_bar_enabled_user_updated_at': None, 'experiments': {'evaluation_id': None, 'assignments': []}, 'mfa_level': 0, 'owner_id': '440184696811552769', 'description': None, 'premium_progress_bar_enabled': False, 'hub_type': None, 'nsfw_level': 0, 'verification_level': 0, 'official_message_color': None, 'activity_instances': [], 'application_command_counts': {}, 'incidents_data': None, 'channels': [{'version': 1780893307727, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1513400964843966605', 'flags': 0}, {'version': 1780893307730, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1513400964843966606', 'flags': 0}, {'version': 1780893307735, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1513400964843966605', 'name': 'general', 'last_message_id': '1513410147714600972', 'id': '1513400964843966607', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1780893307741, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1513400964843966606', 'name': 'General', 'last_message_id': None, 'id': '1513400964843966608', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1780897901279, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1513400964843966606', 'nsfw': False, 'name': 'habitJail', 'last_message_id': None, 'id': '1513420231907868792', 'flags': 0, 'bitrate': 64000}], 'vanity_url_code': None, 'unavailable': False, 'joined_at': '2026-06-08T04:35:46.881542+00:00', 'premium_tier': 0, 'embedded_activities': [], 'premium_features': None, 'max_members': 25000000, 'guild_scheduled_events': [], 'emojis': [], 'features': [], 'moderator_reporting': None, 'system_channel_flags': 0, 'public_updates_channel_id': None, 'application_id': None, 'splash': None, 'version': 1780894468524, 'member_count': 2, 'verification_role_id': None}}
[2026-06-07 23:28:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
